S.No,Date,Open,High,Low,LTP,% Change,Qty,Turnover
107,11/4/20,862,863,858,861,-0.23,"38,848",33451817.00
108,11/3/20,862,869,857,863,0.23,"47,681",41209073.00
109,11/2/20,858,868,850,861,0.35,"68,958",59474517.00
110,11/1/20,865,869,858,858,-0.81,"38,398",33045165.00
111,10/29/20,875,881,861,865,-0.23,"51,890",45237063.00
112,10/28/20,851,869,850,867,1.29,"52,226",44678831.00
113,10/22/20,865,865,853,856,-0.12,"38,551",32971137.00
114,10/21/20,855,863,852,857,0.12,"29,569",25405072.00
115,10/20/20,896,896,850,856,0.23,"25,869",22074942.00
116,10/19/20,850,858,848,854,0.47,"33,366",28453773.00
117,10/18/20,854,854,848,850,-0.47,"57,070",48531217.00
118,10/15/20,855,869,850,854,0.23,"86,805",74084223.00
119,10/14/20,855,858,851,852,-0.47,"62,327",53181854.00
120,10/13/20,860,865,855,856,-0.47,"73,770",63289400.00
121,10/12/20,858,865,857,860,-0.12,"61,915",53276432.00
122,10/11/20,868,877,856,861,-0.81,"66,945",57928083.00
123,10/8/20,865,887,865,868,-0.57,"72,675",63332030.00
124,10/7/20,920,920,870,873,-0.46,"78,553",68569172.00
125,10/6/20,885,895,875,877,-1.13,"71,469",62902371.00
126,10/5/20,891,908,885,887,-0.45,"166,071",149100463.00
127,10/4/20,863,898,863,891,3.24,"234,510",208153684.00
128,10/1/20,850,870,850,863,1.41,"97,600",84173747.00
129,9/30/20,860,860,846,851,-0.23,"132,294",112435136.00
130,9/29/20,856,856,851,853,-0.35,"91,565",78161176.00
131,9/28/20,850,867,850,856,-0.47,"74,520",64033445.00
132,9/27/20,870,875,860,860,-0.46,"104,161",90001415.00
133,9/24/20,870,870,861,864,-0.58,"108,550",93824698.00
134,9/23/20,819,870,819,869,0.81,"101,235",87323701.00
135,9/22/20,862,870,855,862,0,"144,853",124476823.00
136,9/21/20,900,900,845,862,0.47,"172,562",149036929.00
137,9/20/20,900,900,858,858,-2.05,"188,349",162940197.00
138,9/17/20,885,897,873,876,-0.9,"170,721",149806832.00
139,9/16/20,880,890,873,884,0.34,"109,028",96196246.00
140,9/15/20,908,908,874,881,-0.11,"148,938",131382850.00
141,9/14/20,942,942,882,882,-1.78,"229,562",204308671.00
142,9/13/20,925,925,895,898,0.34,"269,175",243165063.00
143,9/10/20,900,918,891,895,0.45,"193,377",174234530.00
144,9/9/20,865,899,857,891,3.73,"253,259",223122288.00
145,9/8/20,856,870,837,859,0.35,"324,098",275539970.00
146,9/7/20,871,880,854,856,-1.72,"329,704",284037071.00
147,9/6/20,933,933,860,871,-2.02,"455,128",401301091.00
148,9/3/20,920,920,856,889,-1.33,"466,323",415707246.00
149,9/2/20,889,931,887,901,6.38,"732,871",674242254.00
150,8/31/20,775,847,775,847,10,"346,675",287457233.00
151,8/30/20,709,775,693,770,8.6,"478,389",344209981.00
152,8/27/20,710,722,700,709,-0.42,"325,117",231294329.00
153,8/26/20,673,726,671,712,5.95,"492,948",349254823.00
154,8/25/20,624,679,623,672,7.69,"443,243",287405902.00
155,8/24/20,596,624,596,624,4.7,"351,252",216040975.00
156,8/23/20,583,599,581,596,2.23,"113,089",66811330.00
157,8/20/20,579,585,575,583,0.69,"39,562",23017814.00
158,8/19/20,585,587,578,579,-1.86,"117,221",68180359.00
159,8/18/20,589,595,585,590,0.34,"108,326",63932746.00
160,8/17/20,570,590,570,588,2.26,"112,845",65830289.00
161,8/16/20,575,584,571,575,-0.86,"133,967",77110577.00
162,8/13/20,588,588,580,580,-1.36,"123,499",71937184.00
163,8/12/20,616,616,584,588,0.17,"102,692",60381444.00
164,8/11/20,590,599,585,587,-0.68,"204,932",121607808.00
165,8/10/20,572,597,566,591,3.32,"210,854",123153744.00
166,8/9/20,575,580,563,572,-0.52,"156,684",89114880.00
167,8/6/20,575,585,565,575,-0.17,"206,694",118115184.00
168,8/5/20,588,590,576,576,-2.21,"234,516",136119904.00
169,8/3/20,590,594,575,589,0.51,"171,630",100417640.00
170,8/2/20,610,610,584,586,-2.17,"382,259",226517072.00
171,7/30/20,595,615,576,599,2.57,"382,720",229155056.00
172,7/29/20,567,588,557,584,3.18,"272,601",157100112.00
173,7/28/20,562,569,555,566,0.71,"183,834",103576160.00
174,7/27/20,559,575,553,562,2.37,"264,209",148861184.00
175,7/26/20,520,552,520,549,0.73,"373,050",199452912.00
176,7/23/20,535,547,520,545,1.87,"212,889",113239680.00
177,7/22/20,560,561,528,535,-3.95,"301,663",162376272.00
178,7/21/20,565,567,550,557,-1.42,"223,552",124291832.00
179,7/20/20,598,618,537,565,-0.88,"309,752",176382800.00
180,7/19/20,547,573,547,570,9.4,"44,436",25371292.00
181,7/16/20,529,529,503,521,3.37,"182,560",94172560.00
182,7/15/20,500,510,500,504,0.8,"193,037",97362528.00
183,7/14/20,505,510,497,500,-1.57,"221,004",111012240.00
184,7/13/20,512,517,501,508,-0.2,"202,660",102812352.00
185,7/12/20,504,535,501,509,0.99,"279,522",143448464.00
186,7/9/20,515,516,486,504,-0.79,"302,571",151845824.00
187,7/8/20,508,532,480,508,4.96,"501,457",255799680.00
188,7/7/20,462,484,453,484,10,"189,080",91267080.00
189,7/6/20,400,440,400,440,10,"337,293",145331376.00
190,7/5/20,380,415,370,400,4.44,"384,082",151241984.00
191,7/2/20,396,415,368,383,1.32,"152,449",60682124.00
192,7/1/20,327,378,315,378,9.88,"41,011",14761825.00
193,6/30/20,363,363,344,344,-9.95,"20,380",7016590.00
194,6/29/20,424,432,382,382,-9.91,"9,779",3761368.00
195,11/22/20,1150,1201,1108,1138,2.52,"504,782",580058318.00
196,11/19/20,1037,1118,1037,1110,7.04,"377,799",410845310.00
197,11/18/20,983,1044,961,1037,5.49,"337,844",336259920.00
198,11/12/20,964,991,960,983,1.97,"337,190",329605240.00
199,11/11/20,961,977,951,964,0.31,"156,439",151071432.00
200,11/10/20,1000,1000,951,961,-0.83,"292,752",285332151.00
201,11/9/20,904,973,900,969,8.39,"583,920",550181485.00
202,11/8/20,858,905,858,894,4.2,"291,323",259202482.00
203,11/5/20,859,865,856,858,-0.35,"81,104",69705953.00
204,11/4/20,862,863,858,861,-0.23,"38,848",33451817.00
205,11/3/20,862,869,857,863,0.23,"47,681",41209073.00
206,11/2/20,858,868,850,861,0.35,"68,958",59474517.00
207,11/1/20,865,869,858,858,-0.81,"38,398",33045165.00
208,10/29/20,875,881,861,865,-0.23,"51,890",45237063.00
209,10/28/20,851,869,850,867,1.29,"52,226",44678831.00
210,10/22/20,865,865,853,856,-0.12,"38,551",32971137.00
211,10/21/20,855,863,852,857,0.12,"29,569",25405072.00
212,10/20/20,896,896,850,856,0.23,"25,869",22074942.00
213,10/19/20,850,858,848,854,0.47,"33,366",28453773.00
214,10/18/20,854,854,848,850,-0.47,"57,070",48531217.00
215,10/15/20,855,869,850,854,0.23,"86,805",74084223.00
216,10/14/20,855,858,851,852,-0.47,"62,327",53181854.00
217,10/13/20,860,865,855,856,-0.47,"73,770",63289400.00
218,10/12/20,858,865,857,860,-0.12,"61,915",53276432.00
219,10/11/20,868,877,856,861,-0.81,"66,945",57928083.00
220,10/8/20,865,887,865,868,-0.57,"72,675",63332030.00
221,10/7/20,920,920,870,873,-0.46,"78,553",68569172.00
222,10/6/20,885,895,875,877,-1.13,"71,469",62902371.00
223,10/5/20,891,908,885,887,-0.45,"166,071",149100463.00
224,10/4/20,863,898,863,891,3.24,"234,510",208153684.00
225,10/1/20,850,870,850,863,1.41,"97,600",84173747.00
226,9/30/20,860,860,846,851,-0.23,"132,294",112435136.00
227,9/29/20,856,856,851,853,-0.35,"91,565",78161176.00
228,9/28/20,850,867,850,856,-0.47,"74,520",64033445.00
229,9/27/20,870,875,860,860,-0.46,"104,161",90001415.00
230,9/24/20,870,870,861,864,-0.58,"108,550",93824698.00
231,9/23/20,819,870,819,869,0.81,"101,235",87323701.00
232,9/22/20,862,870,855,862,0,"144,853",124476823.00
233,9/21/20,900,900,845,862,0.47,"172,562",149036929.00
234,9/20/20,900,900,858,858,-2.05,"188,349",162940197.00
235,9/17/20,885,897,873,876,-0.9,"170,721",149806832.00
236,9/16/20,880,890,873,884,0.34,"109,028",96196246.00
237,9/15/20,908,908,874,881,-0.11,"148,938",131382850.00
238,9/14/20,942,942,882,882,-1.78,"229,562",204308671.00
239,9/13/20,925,925,895,898,0.34,"269,175",243165063.00
240,9/10/20,900,918,891,895,0.45,"193,377",174234530.00
241,9/9/20,865,899,857,891,3.73,"253,259",223122288.00
242,9/8/20,856,870,837,859,0.35,"324,098",275539970.00
243,9/7/20,871,880,854,856,-1.72,"329,704",284037071.00
244,9/6/20,933,933,860,871,-2.02,"455,128",401301091.00
245,9/3/20,920,920,856,889,-1.33,"466,323",415707246.00
246,9/2/20,889,931,887,901,6.38,"732,871",674242254.00
247,8/31/20,775,847,775,847,10,"346,675",287457233.00
248,8/30/20,709,775,693,770,8.6,"478,389",344209981.00
249,8/27/20,710,722,700,709,-0.42,"325,117",231294329.00
250,8/26/20,673,726,671,712,5.95,"492,948",349254823.00
251,8/25/20,624,679,623,672,7.69,"443,243",287405902.00
252,8/24/20,596,624,596,624,4.7,"351,252",216040975.00
253,8/23/20,583,599,581,596,2.23,"113,089",66811330.00
254,8/20/20,579,585,575,583,0.69,"39,562",23017814.00
255,8/19/20,585,587,578,579,-1.86,"117,221",68180359.00
256,8/18/20,589,595,585,590,0.34,"108,326",63932746.00
257,8/17/20,570,590,570,588,2.26,"112,845",65830289.00
258,8/16/20,575,584,571,575,-0.86,"133,967",77110577.00
259,8/13/20,588,588,580,580,-1.36,"123,499",71937184.00
260,8/12/20,616,616,584,588,0.17,"102,692",60381444.00
261,8/11/20,590,599,585,587,-0.68,"204,932",121607808.00
262,8/10/20,572,597,566,591,3.32,"210,854",123153744.00
263,8/9/20,575,580,563,572,-0.52,"156,684",89114880.00
264,8/6/20,575,585,565,575,-0.17,"206,694",118115184.00
265,8/5/20,588,590,576,576,-2.21,"234,516",136119904.00
266,8/3/20,590,594,575,589,0.51,"171,630",100417640.00
267,8/2/20,610,610,584,586,-2.17,"382,259",226517072.00
268,7/30/20,595,615,576,599,2.57,"382,720",229155056.00
269,7/29/20,567,588,557,584,3.18,"272,601",157100112.00
270,7/28/20,562,569,555,566,0.71,"183,834",103576160.00
271,7/27/20,559,575,553,562,2.37,"264,209",148861184.00
272,7/26/20,520,552,520,549,0.73,"373,050",199452912.00
273,7/23/20,535,547,520,545,1.87,"212,889",113239680.00
274,7/22/20,560,561,528,535,-3.95,"301,663",162376272.00
275,7/21/20,565,567,550,557,-1.42,"223,552",124291832.00
276,7/20/20,598,618,537,565,-0.88,"309,752",176382800.00
277,7/19/20,547,573,547,570,9.4,"44,436",25371292.00
278,7/16/20,529,529,503,521,3.37,"182,560",94172560.00
279,7/15/20,500,510,500,504,0.8,"193,037",97362528.00
280,7/14/20,505,510,497,500,-1.57,"221,004",111012240.00
281,7/13/20,512,517,501,508,-0.2,"202,660",102812352.00
282,7/12/20,504,535,501,509,0.99,"279,522",143448464.00
283,7/9/20,515,516,486,504,-0.79,"302,571",151845824.00
284,7/8/20,508,532,480,508,4.96,"501,457",255799680.00
285,7/7/20,462,484,453,484,10,"189,080",91267080.00
286,7/6/20,400,440,400,440,10,"337,293",145331376.00
287,7/5/20,380,415,370,400,4.44,"384,082",151241984.00
288,7/2/20,396,415,368,383,1.32,"152,449",60682124.00
289,7/1/20,327,378,315,378,9.88,"41,011",14761825.00
290,6/30/20,363,363,344,344,-9.95,"20,380",7016590.00
291,6/29/20,424,432,382,382,-9.91,"9,779",3761368.00
292,11/22/20,1150,1201,1108,1138,2.52,"504,782",580058318.00
293,11/19/20,1037,1118,1037,1110,7.04,"377,799",410845310.00
294,11/18/20,983,1044,961,1037,5.49,"337,844",336259920.00
295,11/12/20,964,991,960,983,1.97,"337,190",329605240.00
296,11/11/20,961,977,951,964,0.31,"156,439",151071432.00
297,11/10/20,1000,1000,951,961,-0.83,"292,752",285332151.00
298,11/9/20,904,973,900,969,8.39,"583,920",550181485.00
299,11/8/20,858,905,858,894,4.2,"291,323",259202482.00
300,11/5/20,859,865,856,858,-0.35,"81,104",69705953.00
301,11/4/20,862,863,858,861,-0.23,"38,848",33451817.00
302,11/3/20,862,869,857,863,0.23,"47,681",41209073.00
303,11/2/20,858,868,850,861,0.35,"68,958",59474517.00
304,11/1/20,865,869,858,858,-0.81,"38,398",33045165.00
305,10/29/20,875,881,861,865,-0.23,"51,890",45237063.00
306,10/28/20,851,869,850,867,1.29,"52,226",44678831.00
307,10/22/20,865,865,853,856,-0.12,"38,551",32971137.00
308,10/21/20,855,863,852,857,0.12,"29,569",25405072.00
309,10/20/20,896,896,850,856,0.23,"25,869",22074942.00
310,10/19/20,850,858,848,854,0.47,"33,366",28453773.00
311,10/18/20,854,854,848,850,-0.47,"57,070",48531217.00
312,10/15/20,855,869,850,854,0.23,"86,805",74084223.00
313,10/14/20,855,858,851,852,-0.47,"62,327",53181854.00
314,10/13/20,860,865,855,856,-0.47,"73,770",63289400.00
315,10/12/20,858,865,857,860,-0.12,"61,915",53276432.00
316,10/11/20,868,877,856,861,-0.81,"66,945",57928083.00
317,10/8/20,865,887,865,868,-0.57,"72,675",63332030.00
318,10/7/20,920,920,870,873,-0.46,"78,553",68569172.00
319,10/6/20,885,895,875,877,-1.13,"71,469",62902371.00
320,10/5/20,891,908,885,887,-0.45,"166,071",149100463.00
321,10/4/20,863,898,863,891,3.24,"234,510",208153684.00
322,10/1/20,850,870,850,863,1.41,"97,600",84173747.00
323,9/30/20,860,860,846,851,-0.23,"132,294",112435136.00
324,9/29/20,856,856,851,853,-0.35,"91,565",78161176.00
325,9/28/20,850,867,850,856,-0.47,"74,520",64033445.00
326,9/27/20,870,875,860,860,-0.46,"104,161",90001415.00
327,9/24/20,870,870,861,864,-0.58,"108,550",93824698.00
328,9/23/20,819,870,819,869,0.81,"101,235",87323701.00
329,9/22/20,862,870,855,862,0,"144,853",124476823.00
330,9/21/20,900,900,845,862,0.47,"172,562",149036929.00
331,9/20/20,900,900,858,858,-2.05,"188,349",162940197.00
332,9/17/20,885,897,873,876,-0.9,"170,721",149806832.00
333,9/16/20,880,890,873,884,0.34,"109,028",96196246.00
334,9/15/20,908,908,874,881,-0.11,"148,938",131382850.00
335,9/14/20,942,942,882,882,-1.78,"229,562",204308671.00
336,9/13/20,925,925,895,898,0.34,"269,175",243165063.00
337,9/10/20,900,918,891,895,0.45,"193,377",174234530.00
338,9/9/20,865,899,857,891,3.73,"253,259",223122288.00
339,9/8/20,856,870,837,859,0.35,"324,098",275539970.00
340,9/7/20,871,880,854,856,-1.72,"329,704",284037071.00
341,9/6/20,933,933,860,871,-2.02,"455,128",401301091.00
342,9/3/20,920,920,856,889,-1.33,"466,323",415707246.00
343,9/2/20,889,931,887,901,6.38,"732,871",674242254.00
344,8/31/20,775,847,775,847,10,"346,675",287457233.00
345,8/30/20,709,775,693,770,8.6,"478,389",344209981.00
346,8/27/20,710,722,700,709,-0.42,"325,117",231294329.00
347,8/26/20,673,726,671,712,5.95,"492,948",349254823.00
348,8/25/20,624,679,623,672,7.69,"443,243",287405902.00
349,8/24/20,596,624,596,624,4.7,"351,252",216040975.00
350,8/23/20,583,599,581,596,2.23,"113,089",66811330.00
351,8/20/20,579,585,575,583,0.69,"39,562",23017814.00
352,8/19/20,585,587,578,579,-1.86,"117,221",68180359.00
353,8/18/20,589,595,585,590,0.34,"108,326",63932746.00
354,8/17/20,570,590,570,588,2.26,"112,845",65830289.00
355,8/16/20,575,584,571,575,-0.86,"133,967",77110577.00
356,8/13/20,588,588,580,580,-1.36,"123,499",71937184.00
357,8/12/20,616,616,584,588,0.17,"102,692",60381444.00
358,8/11/20,590,599,585,587,-0.68,"204,932",121607808.00
359,8/10/20,572,597,566,591,3.32,"210,854",123153744.00
360,8/9/20,575,580,563,572,-0.52,"156,684",89114880.00
361,8/6/20,575,585,565,575,-0.17,"206,694",118115184.00
362,8/5/20,588,590,576,576,-2.21,"234,516",136119904.00
363,8/3/20,590,594,575,589,0.51,"171,630",100417640.00
364,8/2/20,610,610,584,586,-2.17,"382,259",226517072.00
365,7/30/20,595,615,576,599,2.57,"382,720",229155056.00
366,7/29/20,567,588,557,584,3.18,"272,601",157100112.00
367,7/28/20,562,569,555,566,0.71,"183,834",103576160.00
368,7/27/20,559,575,553,562,2.37,"264,209",148861184.00
369,7/26/20,520,552,520,549,0.73,"373,050",199452912.00
370,7/23/20,535,547,520,545,1.87,"212,889",113239680.00
371,7/22/20,560,561,528,535,-3.95,"301,663",162376272.00
372,7/21/20,565,567,550,557,-1.42,"223,552",124291832.00
373,7/20/20,598,618,537,565,-0.88,"309,752",176382800.00
374,7/19/20,547,573,547,570,9.4,"44,436",25371292.00
375,7/16/20,529,529,503,521,3.37,"182,560",94172560.00
376,7/15/20,500,510,500,504,0.8,"193,037",97362528.00
377,7/14/20,505,510,497,500,-1.57,"221,004",111012240.00
378,7/13/20,512,517,501,508,-0.2,"202,660",102812352.00
379,7/12/20,504,535,501,509,0.99,"279,522",143448464.00
380,7/9/20,515,516,486,504,-0.79,"302,571",151845824.00
381,7/8/20,508,532,480,508,4.96,"501,457",255799680.00
382,7/7/20,462,484,453,484,10,"189,080",91267080.00
383,7/6/20,400,440,400,440,10,"337,293",145331376.00
384,7/5/20,380,415,370,400,4.44,"384,082",151241984.00
385,7/2/20,396,415,368,383,1.32,"152,449",60682124.00
386,7/1/20,327,378,315,378,9.88,"41,011",14761825.00
387,6/30/20,363,363,344,344,-9.95,"20,380",7016590.00
388,6/29/20,424,432,382,382,-9.91,"9,779",3761368.00
389,11/22/20,1150,1201,1108,1138,2.52,"504,782",580058318.00
390,11/19/20,1037,1118,1037,1110,7.04,"377,799",410845310.00
391,11/18/20,983,1044,961,1037,5.49,"337,844",336259920.00
392,11/12/20,964,991,960,983,1.97,"337,190",329605240.00
393,11/11/20,961,977,951,964,0.31,"156,439",151071432.00
394,11/10/20,1000,1000,951,961,-0.83,"292,752",285332151.00
395,11/9/20,904,973,900,969,8.39,"583,920",550181485.00
396,11/8/20,858,905,858,894,4.2,"291,323",259202482.00
397,11/5/20,859,865,856,858,-0.35,"81,104",69705953.00
398,11/4/20,862,863,858,861,-0.23,"38,848",33451817.00
399,11/3/20,862,869,857,863,0.23,"47,681",41209073.00
400,11/2/20,858,868,850,861,0.35,"68,958",59474517.00
401,11/1/20,865,869,858,858,-0.81,"38,398",33045165.00
402,10/29/20,875,881,861,865,-0.23,"51,890",45237063.00
403,10/28/20,851,869,850,867,1.29,"52,226",44678831.00
404,10/22/20,865,865,853,856,-0.12,"38,551",32971137.00
405,10/21/20,855,863,852,857,0.12,"29,569",25405072.00
406,10/20/20,896,896,850,856,0.23,"25,869",22074942.00
407,10/19/20,850,858,848,854,0.47,"33,366",28453773.00
408,10/18/20,854,854,848,850,-0.47,"57,070",48531217.00
409,10/15/20,855,869,850,854,0.23,"86,805",74084223.00
410,10/14/20,855,858,851,852,-0.47,"62,327",53181854.00
411,10/13/20,860,865,855,856,-0.47,"73,770",63289400.00
412,10/12/20,858,865,857,860,-0.12,"61,915",53276432.00
413,10/11/20,868,877,856,861,-0.81,"66,945",57928083.00
414,10/8/20,865,887,865,868,-0.57,"72,675",63332030.00
415,10/7/20,920,920,870,873,-0.46,"78,553",68569172.00
416,10/6/20,885,895,875,877,-1.13,"71,469",62902371.00
417,10/5/20,891,908,885,887,-0.45,"166,071",149100463.00
418,10/4/20,863,898,863,891,3.24,"234,510",208153684.00
419,10/1/20,850,870,850,863,1.41,"97,600",84173747.00
420,9/30/20,860,860,846,851,-0.23,"132,294",112435136.00
421,9/29/20,856,856,851,853,-0.35,"91,565",78161176.00
422,9/28/20,850,867,850,856,-0.47,"74,520",64033445.00
423,9/27/20,870,875,860,860,-0.46,"104,161",90001415.00
424,9/24/20,870,870,861,864,-0.58,"108,550",93824698.00
425,9/23/20,819,870,819,869,0.81,"101,235",87323701.00
426,9/22/20,862,870,855,862,0,"144,853",124476823.00
427,9/21/20,900,900,845,862,0.47,"172,562",149036929.00
428,9/20/20,900,900,858,858,-2.05,"188,349",162940197.00
429,9/17/20,885,897,873,876,-0.9,"170,721",149806832.00
430,9/16/20,880,890,873,884,0.34,"109,028",96196246.00
431,9/15/20,908,908,874,881,-0.11,"148,938",131382850.00
432,9/14/20,942,942,882,882,-1.78,"229,562",204308671.00
433,9/13/20,925,925,895,898,0.34,"269,175",243165063.00
434,9/10/20,900,918,891,895,0.45,"193,377",174234530.00
435,9/9/20,865,899,857,891,3.73,"253,259",223122288.00
436,9/8/20,856,870,837,859,0.35,"324,098",275539970.00
437,9/7/20,871,880,854,856,-1.72,"329,704",284037071.00
438,9/6/20,933,933,860,871,-2.02,"455,128",401301091.00
439,9/3/20,920,920,856,889,-1.33,"466,323",415707246.00
440,9/2/20,889,931,887,901,6.38,"732,871",674242254.00
441,8/31/20,775,847,775,847,10,"346,675",287457233.00
442,8/30/20,709,775,693,770,8.6,"478,389",344209981.00
